label,protocol_type,service,flag,duration,src_bytes,dst_bytes,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,num_failed_logins,logged_in
normal,tcp,telnet,RSTR,0.5496411869188079,1479,201,5,7,0.05765689023113961,0.0,0.852266042880938,0.0,22,30,0,0
U2R,udp,private,SF,17.02580204964092,252,332,1,0,0.12580344771875496,0.09265234888030574,0.44503117596961905,0.044762262144713016,12,5,0,1
DoS,tcp,dns,SF,0.10827711588716372,3,3,202,184,0.8653917892486931,0.29061817786382277,0.9671245151538694,0.0,257,254,0,0
normal,udp,dns,SF,10.085000992338289,227,1880,6,5,0.04174591846111192,0.0,0.9011340386658572,0.08438801822302236,15,22,0,0
DoS,tcp,dns,S0,0.3203082756655939,30,4,211,193,0.6369297476305752,0.039432369007403614,0.9790155491841976,0.022115007978186454,258,269,0,0
R2L,tcp,private,SF,4.070088879160649,43,0,2,5,0.2683040521220503,0.5735757222222704,0.7770419347175777,0.3139787554520488,6,8,2,1
DoS,udp,telnet,SF,0.22850717716856397,4,2,190,209,0.8820564636036621,0.09939974759991002,1.0,0.013056835081864879,240,241,0,0
R2L,tcp,dns,REJ,3.330173623453408,12,8,8,3,0.0,0.02983705446686538,0.6162882577470354,0.45053650109487287,9,10,2,0
U2R,tcp,ssh,REJ,7.024906913055725,711,58,0,2,0.06753656637567192,0.027738946521937063,0.5775937432843993,0.14954973356629156,4,4,0,1
Probe,tcp,smtp,SF,0.1558280344496846,5,4,49,8,0.05689974591706137,0.4232138246237708,0.29320478451100673,0.7937646972266793,189,5,0,0
normal,tcp,ssh,SF,1.3544359431673683,97,185,11,10,0.002877026258482372,0.0,0.853027990901394,0.03353521790198513,13,15,0,1
normal,udp,telnet,SF,0.7413851086299034,445,587,5,9,0.01046788857603667,0.05211274305212267,0.8688963793791159,0.06607375090047908,15,19,0,1
normal,tcp,private,REJ,5.32542577942687,51,1528,6,4,0.04494436288296539,0.047424066300575995,0.9110228071424835,0.03501643440985179,13,16,0,0
normal,tcp,ftp,SF,4.353853872802749,109,1195,10,8,0.07262308876065557,0.007838876405544306,0.7614639019511406,0.07656001383998604,21,20,0,1
Probe,udp,ftp,SF,0.5948219465650252,7,1,62,9,0.0,0.5278850700177127,0.07384054382185308,0.4964315409774861,172,11,0,0
Probe,udp,http,REJ,0.022288997245094092,13,1,40,5,0.4285400394087715,0.6680951429702734,0.0,0.7550416241947959,220,13,0,0
normal,tcp,http,SF,0.9626507710824803,2138,200,9,3,0.0032034264865081867,0.005864209200384067,1.0,0.0,28,15,0,1
normal,tcp,private,SF,6.933866388194022,367,631,9,8,0.009795631898452164,0.0012364232388111553,0.9096334707094489,0.09456364802294637,16,23,0,0
DoS,tcp,ftp,SF,0.49547575628388474,6,3,198,186,1.0,0.12094365128478632,0.9728614152894409,0.008392055357010594,271,266,0,0
normal,tcp,ftp,SF,1.4171085855273393,2299,3622,5,8,0.039390042448023486,0.019707346895840527,0.8526285388212939,0.07190082053825742,23,34,0,1
normal,tcp,telnet,SF,4.065093682118251,358,1143,12,11,0.028491732190097447,0.006348149109626198,0.6846083949620194,0.011370662961496678,16,19,0,1
normal,udp,private,S0,8.362234405622708,2321,6352,9,9,0.01860281951380483,0.006105221256647279,0.7883526445516311,0.04532842796464725,20,13,0,1
normal,tcp,ftp,SF,2.7198876049034126,118,2644,9,11,0.010135707570388331,0.026599737094972414,0.7579481561715832,0.12148312845714959,16,23,0,1
R2L,tcp,http,SF,18.481441384688566,92,3,3,1,0.2585884437193769,0.12784927286232095,0.12658022699630672,0.2671736804247152,5,14,2,1
DoS,tcp,other,SF,0.030597088375139157,20,2,199,216,0.815681665936,0.2326434312203282,0.9894967694304534,0.01728800386710385,281,262,0,0
DoS,tcp,telnet,S0,0.7520024127751173,12,4,182,202,0.904672320620899,0.23687956448576458,0.9901063945407038,0.01007855937599479,260,255,0,0
normal,udp,private,SF,9.328358248657961,319,3136,8,7,0.012343483327120727,0.05886109785930416,0.8840545002082019,0.07166034739027131,15,25,0,1
DoS,tcp,ssh,S0,0.7080481677868202,2,4,193,185,0.956185929982328,0.16641908315185033,0.9730175327973827,0.025645777351516345,231,275,0,0
DoS,tcp,dns,SF,0.2626930403772096,38,2,211,213,0.8253445903608788,0.0,0.9452544261901938,0.00680156908009515,250,261,0,0
normal,udp,ftp,SF,1.932569867338053,636,228,12,7,0.0017926379244835693,0.06072399263745512,0.9068365476035753,0.09981418075086028,25,26,0,1
normal,tcp,telnet,RSTR,5.8846402063106895,519,2720,3,4,0.020366158756264897,0.030606125500313712,0.8169459060403711,0.06850319570764896,13,14,0,1
R2L,tcp,private,SF,10.25613392964096,93,84,2,0,0.08843043911119276,0.0,0.5054323189258024,0.0,9,8,6,0
DoS,tcp,dns,SH,0.28503727564082987,40,3,217,198,0.9334659897367579,0.0990157779636221,0.9561989145692613,0.0,233,248,0,0
normal,tcp,private,REJ,5.985704260518031,1401,849,12,11,0.019692062294958932,0.011997701563698216,1.0,0.0,23,18,1,1
normal,tcp,dns,REJ,1.5361829242560825,2515,676,11,10,0.0,0.008064034317096007,1.0,0.019021074496578305,17,17,0,0
normal,tcp,ftp,RSTR,1.5228773645124853,1000,439,7,8,0.022094620341677567,0.03775813460046538,0.7699741592319846,0.0,26,23,0,1
normal,udp,http,SF,7.715309679573056,355,2483,11,13,0.013776404599877033,0.024595520936739817,0.6874037000335006,0.11001342825377941,23,16,0,1
Probe,udp,smtp,SF,0.3673934123786845,9,4,41,4,0.17900949530509486,0.5483235591649945,0.0,0.5861351965795898,212,8,0,0
Probe,udp,http,SF,0.06424038793789295,7,5,50,5,0.4901472669357615,0.3833344468362696,0.1807405728795026,0.7916524164683902,208,8,0,0
normal,tcp,telnet,SF,2.654188303197331,166,1882,7,8,0.012166276602142485,0.016092966632257812,0.968091363892692,0.15505419620765018,16,15,0,1
normal,tcp,ftp,RSTR,0.7744373990181457,736,1909,9,9,0.0,0.0,0.9500200341991845,0.1281486816286626,14,19,0,1
normal,udp,private,S0,34.97108482592453,617,281,10,12,0.023209782346960226,0.012318002165998538,1.0,0.0,28,31,0,1
normal,tcp,private,RSTR,2.197448461450799,2065,1248,4,8,0.0,0.012878966748924862,0.7941233734619806,0.10795726243831787,21,22,0,1
Probe,icmp,dns,SF,0.29183993346010756,2,2,48,6,0.0,0.29401403078630406,0.0420390143534917,0.7847488900196129,190,9,0,0
Probe,tcp,smtp,REJ,0.324394110812542,10,1,48,6,0.0334761477302124,0.30819262589153656,0.032296698474711394,0.570353395677347,222,9,0,0
normal,tcp,telnet,RSTR,5.811450408965886,2783,716,12,6,0.02378175430472204,0.0,0.9040638663373047,0.015950536739300185,21,19,0,0
normal,tcp,ftp,REJ,8.827455575886313,2350,1142,10,8,0.04717314307508956,0.03782976599099033,0.8162973470779255,0.0,18,18,0,1
DoS,tcp,ftp,SF,0.6151701455994245,24,2,184,210,0.9499832514318178,0.11681485369956113,0.971842880056282,0.02326546107033405,240,260,0,0
normal,udp,smtp,SF,0.45819039906696235,231,6846,8,5,0.03410940447722825,0.01884164704964422,0.9978744172237205,0.06655059614474866,16,19,0,1
Probe,tcp,dns,SF,0.24042404458183306,12,4,43,10,0.5382030690311385,0.29344216425678704,0.054905224479083234,0.5654153867370644,177,13,0,0
DoS,tcp,dns,S0,0.059396476359571924,22,4,187,214,0.8117142651068634,0.06716996112215494,0.9691743185247312,0.010256991790602545,277,247,0,0
Probe,tcp,ftp,REJ,0.20201305682623172,6,3,52,6,0.34308472409246976,0.7439693911075173,0.2170762145910813,0.6086693587276975,203,11,0,0
Probe,tcp,http,SF,0.014756632197365428,18,1,50,1,0.14128363527031643,0.44206913176813745,0.07940151206102553,0.6079117783066431,194,9,0,0
normal,tcp,ssh,SF,15.476884598954474,363,679,3,12,0.002804642838203312,0.013505878451929385,0.9601816996621043,0.08627123961570407,15,19,0,1
normal,tcp,ssh,REJ,0.17904596535550937,265,6352,9,7,0.023355326353768743,0.03848234687783759,0.9531205743736848,0.07140289728958504,15,17,0,0
normal,udp,dns,S0,6.406735372875497,80,2445,9,9,0.0,0.012952227159268939,0.8882898421128265,0.0,21,15,0,1
normal,tcp,ftp,SF,4.2105662979305105,179,1916,8,13,0.02359940001805942,0.0,0.924693431019751,0.018468338842077665,25,18,0,1
Probe,tcp,dns,SF,0.20781939838169528,4,4,59,9,0.3020376379479628,0.5963397981553631,0.12466085655791506,1.0,223,10,0,0
Probe,tcp,dns,SF,0.15140685413689428,6,1,46,2,0.6319579601514039,0.5304482224141178,0.20882803373591513,0.8584900161222467,194,11,0,0
normal,tcp,private,SF,3.3736591789541275,273,2492,8,10,0.03242665797771356,0.05884729581091551,0.8591299210151089,0.1348326418736711,27,28,0,1
normal,tcp,telnet,RSTR,8.85274997899309,456,597,6,6,0.05108807025367564,0.03871398420731487,0.7866481801606401,0.0,23,23,0,1
R2L,tcp,private,SF,8.279513421286378,23,11,4,3,0.302255146745448,0.3083902912522336,0.928583854654357,0.18920921768843357,10,9,1,0
Probe,udp,telnet,SF,0.13153227769694462,6,7,43,6,0.45636260178427523,0.16661826299671542,0.08597575949722668,0.8420919796790952,220,9,0,0
DoS,tcp,smtp,REJ,0.15928518706209863,27,2,207,198,1.0,0.019613770582992143,1.0,0.0019317818608865032,225,236,0,0
Probe,tcp,ftp,SF,0.05159754627880386,14,2,44,13,0.3017976411526149,0.34207728240713403,0.25362269007952365,0.9635355953913529,185,4,0,0
Probe,tcp,telnet,RSTR,0.21058046941289055,7,2,52,3,0.5150571994570168,0.5134682150611811,0.0,0.7546897697954758,198,15,0,0
R2L,tcp,http,RSTR,6.005699267914936,48,11,3,4,0.0,0.2219116856041743,0.5043267170467148,0.08023093964939665,9,10,1,1
normal,udp,http,SF,0.06360138894338273,349,800,10,8,0.018135444616181287,0.024751071662666452,0.7632250166651109,0.04568501944237779,22,27,0,1
DoS,udp,other,RSTR,0.20714435220632282,48,4,212,191,0.7856233705743841,0.20039196077356025,0.9912807835960749,0.04824243772747509,253,242,0,0
normal,tcp,ssh,SH,7.349752156498397,76,915,16,7,0.04787080029478191,0.04711958731350331,0.8022752825442315,0.019610717283105834,20,14,0,1
DoS,tcp,dns,S0,0.7299406782417164,23,4,209,176,0.8732627160727515,0.03112640807020621,1.0,0.0,271,256,0,0
normal,tcp,ftp,SF,16.085768848635883,464,428,7,5,0.034837151688889754,0.04230339539697887,0.761086650557043,0.09817647746645068,22,19,0,1
normal,tcp,smtp,SF,1.6621640857842022,450,3357,4,6,0.031531571620736665,0.06093963972460663,0.9513427300878796,0.03554647604295946,14,18,0,0
normal,tcp,dns,SF,2.9216924686860097,171,324,10,10,0.05106220571974786,0.0,0.8975158605832302,0.03769945506329551,22,16,0,1
normal,tcp,other,SH,4.405389248755714,306,87,9,4,0.025075379050491287,0.027441990386365207,0.9184733702382508,0.07825674103133258,24,27,0,0
normal,tcp,telnet,SF,9.526097097613418,175,2933,6,10,0.029251960593711025,0.03091859364615325,0.9261952983084707,0.0,23,23,0,1
normal,udp,http,SF,2.540298359869565,399,300,7,8,0.0,0.03579856422696494,0.8401056206199536,0.0,23,23,0,1
normal,udp,ssh,SF,21.98662810368011,382,533,5,4,0.0,0.0042635843716201,0.8963442170034573,0.01227010389529748,21,16,0,1
normal,tcp,telnet,SF,1.9130468097596038,642,1294,6,11,0.02829522189482546,0.04726231095811179,0.9146457695568672,0.04153817460113142,12,24,0,1
normal,udp,ssh,SF,0.5225858447462335,773,763,9,5,0.02328183415907819,0.02835431062977048,0.9002604740322867,0.0,19,20,0,1
Probe,udp,telnet,RSTR,0.2245048886463999,6,1,45,6,0.20726473979269822,0.21814926702140397,0.07936181434237594,0.7121184933589919,209,10,0,0
R2L,tcp,ftp,REJ,5.426978707430167,171,8,2,3,0.13668663634848963,0.21746028338569193,0.7704022115857766,0.46590627572533855,14,10,3,0
DoS,tcp,ftp,S0,0.7427719400840944,69,1,215,220,0.7973601647027194,0.08008554587820355,0.9672293198136493,0.014985429235808754,259,289,0,0
DoS,tcp,http,SF,0.04914131667845283,51,1,212,216,0.8264283905080643,0.12377669378407104,0.9930919950945774,0.0,267,260,0,0
normal,tcp,other,S0,5.596974017961943,139,417,11,11,0.0,0.023559918572374185,0.8686722191650399,0.05364271929574378,19,16,0,1
DoS,tcp,dns,SF,1.8592711483161117,45,1,186,217,0.9006608345177126,0.0,0.9902089060008787,0.0,263,232,0,0
DoS,tcp,private,SF,0.5144399257551915,9,1,194,207,0.8442794432408453,0.0,0.9741066769627633,0.024594682262002836,255,245,0,0
U2R,udp,smtp,SF,10.355735066129194,299,485,1,0,0.04780971274824417,0.0041555547573422155,0.6822409689834211,0.04995075832485371,5,10,0,1
normal,icmp,private,SF,0.3894506036999962,2171,9747,3,10,0.025897023525292995,0.03896008720164288,0.8425154379361349,0.026825828288706707,27,16,0,1
normal,tcp,smtp,SF,6.768750053380742,228,1082,10,10,0.010461081559632887,0.0,0.8146891779154304,0.04826738985068823,26,25,0,1
R2L,tcp,dns,S0,13.854311042450764,11,27,4,3,0.15584279565753242,0.0,0.332185087377191,0.3553959736976606,7,15,2,0
normal,tcp,other,SF,4.055428696774164,223,775,11,9,0.0475664453260366,0.022253231846954484,0.7993259546334199,0.0,18,22,0,0
normal,tcp,dns,S0,11.538626185088612,201,51,9,10,0.0,0.013805725738604351,0.9533137176319697,0.0626801552444944,18,15,0,1
normal,tcp,ssh,S0,3.9186344554951784,606,651,4,5,0.03206595465504873,0.008973009863742918,0.9648431402459973,0.0,21,17,0,1
normal,tcp,ftp,SF,5.055404991405215,121,406,3,8,0.021597969350505043,0.041519337307620884,0.7988263274736612,0.05232375632144853,18,12,0,1
DoS,tcp,telnet,SF,0.07567049242340027,13,2,196,208,0.7577679822202913,0.02021923649398119,0.9673181011800271,0.006552391634614968,256,253,0,0
DoS,tcp,ftp,RSTR,0.1462091463909968,5,9,184,187,0.8095098825106384,0.12051331509215948,0.9734697965513098,0.02838661716690783,265,267,0,0
normal,icmp,http,SF,6.346404292146862,1701,1012,4,5,0.03169891362982065,0.041133663962082935,0.8563402720568281,0.0,25,21,0,1
DoS,udp,private,S0,0.8383603458380181,23,2,216,192,0.8399388552084371,0.1326676509513544,0.9952089027761516,0.0,260,271,0,0
DoS,tcp,ftp,SF,2.323814686441165,143,2,177,168,1.0,0.18891204982164572,1.0,0.007957824141266293,249,297,0,0
normal,tcp,dns,SF,6.003855497092141,349,158,10,8,0.03215024353199997,0.029153444677757042,0.9761216211086639,0.03788961787176363,14,19,0,1
DoS,tcp,other,SF,1.998635634578442,3,2,192,198,1.0,0.0,1.0,0.0,253,251,0,0
normal,udp,http,SF,0.0570584999563898,646,66,6,16,0.02195883917119909,0.00048302956443796105,1.0,0.05653766884873613,19,27,0,1
normal,udp,private,RSTR,4.385074443310874,7225,383,5,8,0.0,0.047591540420739875,0.8695725930798887,0.15701062088716805,21,23,0,1
normal,tcp,private,S0,5.624090232679756,296,368,7,5,0.0,0.02637520651754826,0.8640395495889456,0.028857897218200288,19,19,0,0
normal,udp,http,SF,2.106455863803408,529,161,13,7,0.04069731536851354,0.022200812544346086,0.888429632384852,0.06861353943094213,17,14,0,0
normal,tcp,smtp,REJ,0.5197198349362848,745,1657,11,6,0.018372700346901374,0.006676997699212086,0.9964225356257929,0.05679859069580838,21,26,0,1
normal,tcp,ftp,REJ,1.3756589108322126,71,369,7,11,0.0,0.010305495807849886,1.0,0.047685357821388996,22,20,0,1
Probe,tcp,telnet,SF,0.8834686596061136,3,3,50,4,0.0,0.0,0.2202905294603209,0.9280761637985575,222,12,0,0
DoS,tcp,smtp,REJ,0.11300628328450299,206,8,187,201,0.7655801263281374,0.22456056082824105,0.9630042552214142,0.005189230909765329,248,238,0,0
DoS,tcp,ftp,SF,0.6381123414856723,160,5,184,211,0.8130962281917283,0.13254445008787483,0.9967071875423705,0.0,243,263,0,0
normal,tcp,ssh,SF,4.1958183918815255,153,99,9,8,0.07367168175698964,0.037391370209820876,1.0,0.06665231932827784,16,28,0,0
R2L,tcp,ftp,S0,1.658920412032277,45,42,0,2,0.0,0.1403516496909701,0.4238184577474923,0.5558811114407234,5,7,2,0
normal,tcp,smtp,S0,19.06842052917558,230,1297,9,5,0.0009583281747136546,0.0007931456414501624,0.74035901671379,0.05380654199334851,19,23,0,1
DoS,udp,private,REJ,1.092549461627828,77,2,197,195,0.8295842086015862,0.11041031805182094,0.9545968216420235,0.007172896418095034,270,265,0,0
DoS,tcp,dns,SF,1.5853245870447261,13,3,183,202,0.8504639375030911,0.12704126917508582,0.9922812089707653,0.021838446352995478,236,252,0,0
normal,tcp,smtp,SF,4.924095560916032,111,1177,5,10,0.00363434411029373,0.037580778645527516,0.8600654279615119,0.08829569673247215,28,18,0,1
R2L,udp,private,S0,6.684624123044614,33,146,3,1,0.2821222491668694,0.0,0.501267099967426,0.6155770748219112,10,11,4,0
normal,tcp,ftp,SF,9.272372801551247,2023,269,10,7,0.0,0.03163936586430213,0.966210048143163,0.05871232706496641,24,17,0,1
R2L,tcp,telnet,SF,6.878854569585937,83,14,3,2,0.1817509345920668,0.003843619671921733,0.5827994404195939,0.3004432166336916,9,14,2,0
normal,tcp,private,SF,3.458529246132574,247,147,7,6,0.029018727441528256,0.028360802061693023,0.9729117033261178,0.021370796853564734,19,14,0,0
DoS,udp,ftp,SF,1.0449234196966941,7,2,196,198,0.8944732112344782,0.07581568492243032,0.9970208512875284,0.0055163591405644,273,226,0,0
normal,udp,http,SF,7.399357834037462,612,143,7,10,0.03493408270106246,0.04017619623457012,0.8483509346047725,0.05829094089566,16,19,0,0
normal,tcp,ssh,SF,4.823061925056412,155,616,11,10,0.02932390532541981,0.06954336514010878,0.9205204219774369,0.11590916084904081,17,24,0,1
Probe,tcp,smtp,SF,0.25335106073393565,7,1,54,3,0.4403560070597573,0.40506238051289345,0.21130669160930318,0.6966421913925365,193,8,0,0
normal,tcp,telnet,SF,24.39900434132706,85,160,10,1,0.048773997012348996,0.012048287480425687,0.8870717494812125,0.027807615392923014,25,26,0,1
DoS,tcp,smtp,SF,0.5625878820243405,43,1,190,193,0.7288686152395841,0.22885306235021655,1.0,0.0,263,264,0,0
DoS,udp,http,SF,0.7300208865018136,70,4,176,190,0.8314256001540177,0.34782051278843334,0.959495559376835,0.03834183410983391,270,230,0,0
normal,udp,dns,SF,9.067796138695366,1522,2647,9,9,0.0020566644617305042,0.018983145516745736,0.9091467924748076,0.006274831520519497,16,16,0,1
normal,udp,other,REJ,0.9955963711712639,860,1263,7,7,0.007882246298153267,0.029767653602388342,0.8548590098230044,0.04926235284841731,35,18,0,1
normal,tcp,dns,SF,2.1376034022106243,1369,294,8,9,0.029872568847188523,0.01616031702162007,0.9532224579264983,0.009990099327567642,20,23,0,1
DoS,tcp,http,RSTR,0.6018694913569171,64,2,197,204,0.7539656136320714,0.015577036491876,0.9415799349646565,0.021327502459543526,239,247,0,0
normal,tcp,dns,SF,0.1861349228443926,590,1507,7,4,0.023367126906512367,0.04103833028716812,0.9273608392929389,0.09126191403019847,24,18,0,1
normal,udp,telnet,REJ,0.10318340046658386,915,1686,8,11,0.025738997750834974,0.0,1.0,0.0,18,23,0,1
normal,tcp,telnet,SF,8.328008092991729,795,1943,11,11,0.004414155847632552,0.01960475387316807,0.9284425885037833,0.026847181444197524,21,21,0,1
normal,tcp,telnet,SF,11.518132393576646,1031,1358,10,7,0.01881437814944761,0.018871383079025535,0.8244767176561814,0.07982692307870508,27,22,0,1
normal,tcp,telnet,RSTR,6.251510158595548,590,994,14,9,0.0,0.0,0.7417160118472874,0.05908812441993519,17,18,0,1
normal,tcp,telnet,SF,5.448344209085154,1319,36,5,9,0.019024490296144343,0.0,0.9957886922159707,0.009468657925859977,22,17,0,1
normal,tcp,private,SF,0.42731488237034404,771,824,7,7,0.03608597329847521,0.0,0.8894604279143591,0.08893840888401076,22,16,0,1
normal,tcp,telnet,SF,7.201838025964786,1333,1216,6,13,0.007413449669116565,0.005554521428496351,0.8617952068172016,0.0578293186262883,20,16,0,1
normal,icmp,http,SF,0.22176905332775576,411,2297,9,9,0.02745792269071846,0.016403697470989534,0.830422671539889,0.07362903367170583,22,20,0,1
normal,tcp,smtp,SF,3.5413069285747674,576,732,5,7,0.0025315993690776632,0.025796768505068415,0.8226182585969374,0.050980650010775556,19,24,0,1
normal,tcp,other,S0,8.858277692775893,1886,484,8,7,0.055324097845331835,0.0,0.8077002718358812,0.09636594974585357,19,24,0,1
normal,tcp,ftp,REJ,10.942522933753498,1539,137,8,12,0.031874539345596545,0.004936192296332862,0.9887357337524447,0.049212752829109974,27,18,0,1
Probe,tcp,smtp,RSTR,0.07926412235369906,10,4,41,4,0.36490043794844595,0.6301186558258395,0.08382103589546991,0.399916820435102,206,7,0,0
R2L,tcp,private,SF,5.05015422015094,36,56,5,2,0.10205851240111465,0.3128363153907061,0.21198973920560837,0.0,10,12,2,0
normal,tcp,http,SF,7.682712035718416,109,170,11,4,0.015758661780617383,0.021849736988510424,0.9214950615574401,0.0,15,34,0,0
normal,tcp,telnet,SF,2.6994486773897415,3613,725,15,6,0.03359207854457698,0.004207019491911278,0.9624922700139076,0.050042536059780596,11,24,0,1
normal,tcp,private,SF,3.9752408144362787,223,1801,7,6,0.0,0.0061685266587572195,1.0,0.0242401083040179,24,20,0,1
normal,tcp,telnet,SF,3.9516124914791484,1320,578,9,6,0.048860161448564365,0.030576665917694902,0.9613302661043992,0.06368437059939586,19,19,0,1
Probe,tcp,private,S0,0.10791610826493132,8,4,52,3,0.26335612234385586,0.7004893253488548,0.09650396083916794,0.7878920200658946,187,6,0,0
DoS,udp,private,REJ,0.15548996722144257,89,5,185,227,0.898446227103357,0.09775428953498477,0.9601089090375614,0.006500386435236431,257,257,0,0
normal,udp,http,SF,1.9076549903728424,476,577,4,8,0.01679099506577948,0.0,0.9299167335702916,0.06080060642317936,17,20,0,0
DoS,udp,ssh,SH,0.010448793025414764,47,6,185,221,0.8200430979380966,0.2094608588535681,0.9802482276447337,0.05297423403528722,258,246,0,0
DoS,tcp,http,RSTR,0.262038619138974,65,1,176,206,0.7227400467218501,0.005520560733749388,0.9801244523935501,0.0,237,270,0,0
Probe,tcp,other,SF,0.13279168443295405,4,3,49,8,0.17630548450467465,0.42237937803066816,0.1430635136441015,0.6572472152713381,204,8,0,0
normal,tcp,other,SF,3.9686591109550156,392,2912,9,3,0.06521090773687085,0.028808381350094364,1.0,0.08001333786709722,16,28,0,1
normal,tcp,smtp,SF,17.264331669500113,150,3105,10,8,0.0,0.018658151788404596,1.0,0.0,18,19,0,0
normal,icmp,ftp,SF,16.5880531056633,559,1471,5,9,0.02773434339283865,0.004895415325764856,0.9729815450531455,0.12914273647411204,23,23,0,1
Probe,tcp,smtp,S0,0.35726156004376275,8,3,44,3,0.5040561413586989,0.22653907831797682,0.22473487884276144,0.7935953740646445,199,9,0,0
normal,udp,ftp,SF,0.9087909865088216,2608,240,6,1,0.03298601424552669,0.027599871908612454,1.0,0.06753912063165585,18,20,0,1
Probe,udp,dns,SF,0.01697403044616379,13,1,53,5,0.22171588618878732,0.023375463004739083,0.25039836447530217,0.6728075990854562,196,11,0,0
normal,udp,ftp,S0,3.7042635836402136,213,2366,7,8,0.040438318407444745,0.05181520620651238,0.906573312392721,0.07634481084266911,29,21,0,1
normal,tcp,ssh,SF,1.6478310534022338,1602,834,10,8,0.033548877600457924,0.016200125919582965,0.8624311071664164,0.06338222083817655,23,19,0,1
normal,tcp,smtp,SF,7.7345024357696435,56,416,9,14,0.03417070104446802,0.03810509168282798,0.9846805325272303,0.10064598853884359,25,27,0,1
normal,tcp,private,SF,0.029009649921781944,154,941,2,9,0.01819185797508113,0.013871532129056726,0.9423102903139665,0.06390762804641528,22,28,0,1
DoS,tcp,http,SF,0.4026111802743233,6,1,224,199,0.9467895600789431,0.10763681461592217,1.0,0.0,275,283,0,0
normal,icmp,ftp,SF,1.054897967820914,248,819,7,5,0.03305147008620218,0.011496685728706253,1.0,0.05937963293568169,20,12,0,1
normal,tcp,dns,SF,3.0569937035885637,326,620,8,2,0.01684400214965667,0.04713673753670632,0.793259383549975,0.0,19,21,0,1
